"","P02004.LIF14","P02005.LIF16","P02008.LIF09"
"Sulf1",1046.92359175875,2082.52830024215,213.169033849054
"Slco5a1",1072.77355698736,286.490410590898,798.822905792245
"Gm5250",10.1553434826686,4.75897692011459,5.60971141708038
"Gm29283",56.315995676617,7.61436307218335,24.6827302351537
"Prdm14",903.825569957509,81.854403025971,162.681631095331
"Ncoa2",3051.21911001999,1757.01427890631,2391.98094824307
"Gm29570",10.1553434826686,8.56615845620627,4.4877691336643
"Gm7593",5.53927826327381,5.71077230413751,3.36582685024823
"Tram1",1927.66883561928,1678.0152620324,2417.78562076164
"Lactb2",2496.36807064873,1560.94442979759,7100.77271174034
"Xkr9",1.84642608775794,0.951795384022918,0
"Gm5523",227.110408794226,318.851453647678,258.046725185697
"Eya1",30.4660304480059,66.6256768816043,196.339899597813
"Gm9947",12.0017695704266,1.90359076804584,5.60971141708038
"Gm37412",1.84642608775794,1.90359076804584,0
"Smt3h2-ps4",932.445174317757,1295.39351765519,651.84846666474
"Rpl5-ps1",9484.16759976863,10011.9356445371,11532.4447312338
"Trpa1",79.3963217735912,54.2523368893063,20.1949611014894
"Gm10566",1530.68722675133,2130.11806944329,1699.74255937535
"Kcnb2",37.8517347990377,38.0718153609167,37.0240953527305
"Gm6060",5.53927826327381,4.75897692011459,1.12194228341608
"Terf1",2726.24811857459,3434.07774555469,4496.74467193163
"Gm37509",6.46249130715277,4.75897692011459,0
"Sbspon",350.820956674008,691.003448800639,369.119011243889
"4930444P10Rik",13.8481956581845,3.80718153609167,3.36582685024823
"Rpl7",17457.9586597513,18565.720760751,20341.9355406169
"Rdh10",464.376161071121,300.767341351242,255.802840618865
"Stau2",712.720469874563,404.51303820974,523.947046355307
"Ube2w",1230.64298749066,823.303007179824,735.994137920945
"Gm38342",5.53927826327381,5.71077230413751,0
"Eloc",2693.93566203883,3054.31138732955,2142.9097613247
"D030040B21Rik",0.923213043878968,1.90359076804584,0
"Gm7654",10.1553434826686,7.61436307218335,6.73165370049645
"Tmem70",829.968526447192,789.038373354999,969.358132871489
"Ly96",25.8499652286111,34.2646338248251,14.585249684409
"Gm29649",71.0874043786805,59.0113138094209,37.0240953527305
"Gm5828",710.874043786805,544.426959661109,722.530830519952
"Gm28376",345.281678410734,547.282345813178,177.26688077974
"Jph1",24.0035391408532,32.3610430567792,22.4388456683215
"Gdap1",4.61606521939484,2.85538615206876,8.9755382673286
"Gm5251",208.646147916647,272.213479830555,195.217957314397
"Rbm6-ps1",1393.12848321336,1383.91048836932,869.505269647458
"Gm6075",9.23213043878968,21.8912938325271,10.0974805507447
"Gm16070",17.5410478337004,19.9877030644813,12.3413651175768
"Crispld1",8.30891739491071,7.61436307218335,1.12194228341608
"Gm28153",11.0785565265476,37.1200199768938,16.8291342512411
"Gm7690",248.344308803442,286.490410590898,481.313239585496
"Gm28756",0,3.80718153609167,3.36582685024823
"Crisp4",1.84642608775794,3.80718153609167,2.24388456683215
"Defb44-ps",2.7696391316369,0.951795384022918,0
"Defb41",13.8481956581845,32.3610430567792,15.7071919678251
"Gm5252",228.956834881984,330.272998255953,131.267247159681
"Gm15825",1.84642608775794,2.85538615206876,3.36582685024823
"Tfap2d",238.188965320774,372.151995152961,154.828035111418
